collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size
12/12/23,7,1,1,leptodiaptomus_sicilis_male,1,93,38,NA,0.735
12/12/23,7,1,1,leptodiaptomus_sicilis_juvenile,2,95,1,NA,0.643
12/12/23,7,1,1,skistodiaptomus_oregonensis_male,3,119,19,NA,0.663
12/12/23,7,1,1,leptodiaptomus_sicilis_juvenile,4,89,9,NA,0.693
12/12/23,7,1,1,leptodiaptomus_sicilis_juvenile,5,97,38,NA,0.595
12/12/23,7,1,1,leptodiaptomus_sicilis,6,99,58,NA,0.8
12/12/23,7,1,1,leptodiaptomus_minutus_juvenile,7,90,25,NA,0.57
12/12/23,7,1,1,skistodiaptomus_oregonensis,8,121,5,NA,0.648
12/12/23,7,1,1,leptodiaptomus_sicilis_juvenile,9,91,15,NA,0.667
12/12/23,7,1,1,leptodiaptomus_sicilis_juvenile,10,80,56,NA,0.517
