collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size
9/12/23,22,1,1,skistodiaptomus_oregonensis,1,37,3,17,0.873
9/12/23,22,1,1,skistodiaptomus_oregonensis,2,38,7,15,0.845
9/12/23,22,1,1,skistodiaptomus_oregonensis,3,38,27,NA,0.931
9/12/23,22,1,1,skistodiaptomus_oregonensis,4,42,26,NA,0.953
9/12/23,22,1,1,skistodiaptomus_oregonensis,5,41,11,NA,0.884
9/12/23,22,1,1,skistodiaptomus_oregonensis,6,38,57,NA,0.9
9/12/23,22,1,1,leptodiaptomus_minutus,7,21,40,NA,0.617
9/12/23,22,1,1,skistodiaptomus_oregonensis,8,37,48,16,0.892
9/12/23,22,1,1,skistodiaptomus_oregonensis,9,36,41,NA,0.902
9/12/23,22,1,1,skistodiaptomus_oregonensis,10,35,52,15,0.851
