collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size
2/23/24,3,1,1,senecella_calanoides,1,48,16,NA,2.276
2/23/24,3,1,1,limnocalanus_macrurus,2,48,53,NA,1.505
2/23/24,3,1,1,leptodiaptomus_sicilis,3,75,25,8,0.76
2/23/24,3,1,1,leptodiaptomus_sicilis,4,74,58,4,0.89
2/23/24,3,1,1,senecella_calanoides,5,32,7,NA,1.949
2/23/24,3,1,1,limnocalanus_macrurus,6,33,42,NA,1.513
2/23/24,3,1,1,leptodiaptomus_sicilis,7,73,38,6,0.775
2/23/24,3,1,1,leptodiaptomus_sicilis,8,73,13,6,0.815
2/23/24,3,1,1,leptodiaptomus_sicilis,9,76,42,6,0.783
2/23/24,3,1,1,leptodiaptomus_sicilis,10,70,52,NA,0.948
