collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size
11/7/23,11.5,1,1,leptodiaptomus_sicilis_male,1,60,56,NA,0.89
11/7/23,11.5,1,1,leptodiaptomus_sicilis_male,2,60,20,NA,0.894
11/7/23,11.5,1,1,leptodiaptomus_sicilis_male,3,60,29,NA,0.821
11/7/23,11.5,1,1,leptodiaptomus_sicilis,4,48,15,NA,0.975
11/7/23,11.5,1,1,leptodiaptomus_sicilis,5,49,18,NA,0.87
11/7/23,11.5,1,1,leptodiaptomus_sicilis_male,6,57,30,NA,0.9
11/7/23,11.5,1,1,leptodiaptomus_sicilis,7,60,47,6,0.985
11/7/23,11.5,1,1,leptodiaptomus_sicilis,8,58,55,8,0.905
11/7/23,11.5,1,1,leptodiaptomus_minutus,9,58,5,4,0.653
11/7/23,11.5,1,1,leptodiaptomus_sicilis,10,58,25,NA,1.013
